Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
sidewalk,50002484,yes,no,2020/6/19,,,11,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Mexican
sidewalk,41653405,yes,no,2020/6/19,,,13,A,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",French
sidewalk,50091763,yes,no,2020/8/18,,,4,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Salads
both,50060523,yes,yes,2020/6/22,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",French
both,50093768,yes,yes,2020/7/14,,,20,B,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Mexican
sidewalk,50002009,yes,no,2020/6/20,,,19,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Mexican
roadway,FA0214315,no,yes,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50087028,no,yes,2020/6/19,,,7,A,Manhattan,02B,Hot food item not held at or above 140º F.,Italian
both,41331750,yes,yes,2020/6/19,,,10,A,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Irish
sidewalk,50057270,yes,no,2020/6/22,,,8,A,Bronx,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Pizza
both,50073115,yes,yes,2020/6/26,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
roadway,50067685,no,yes,2020/6/20,,,3,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
roadway,50076144,no,yes,2020/6/19,,,4,A,Brooklyn,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Southeast Asian
both,40577535,yes,yes,2020/6/19,,,9,A,Manhattan,02B,Hot food item not held at or above 140º F.,Greek
both,50075191,yes,yes,2020/6/25,,,11,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Latin American
sidewalk,40364335,yes,no,2020/6/22,,,12,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Steakhouse
both,50097421,yes,yes,2020/6/21,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50033805,yes,yes,2020/6/22,,,18,B,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Mediterranean
roadway,41467140,no,yes,2020/6/22,,,19,B,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Vegetarian
sidewalk,50098726,yes,no,2020/8/19,,,11,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Salads
both,50099336,yes,yes,2020/8/17,,,13,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Coffee/Tea
both,50000606,yes,yes,2020/6/19,,,10,A,Brooklyn,04A,Food Protection Certificate not held by supervisor of food operations.,American
roadway,50032937,no,yes,2020/6/24,,,10,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
sidewalk,50075440,yes,no,2020/9/15,,,24,B,Manhattan,02B,Hot food item not held at or above 140º F.,American
both,41546775,yes,yes,2020/6/22,,,13,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
both,1306949,yes,yes,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50086699,yes,yes,2020/6/24,,,7,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Italian
sidewalk,40662196,yes,no,2020/6/19,,,2,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,French
both,50015984,yes,yes,2020/6/19,,,21,B,Manhattan,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Japanese
both,50105272,yes,yes,2020/12/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50074636,yes,no,2020/6/20,,,12,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Greek
sidewalk,41217329,yes,no,2020/6/27,,,12,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Caribbean
both,50068448,yes,yes,2020/6/22,,,12,A,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Chinese
both,50009469,yes,yes,2020/7/2,,,10,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Hamburgers
roadway,41197758,no,yes,2020/8/17,,,30,C,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Southeast Asian
roadway,50073722,no,yes,2020/6/24,,,22,B,Manhattan,09B,Thawing procedures improper.,Korean
sidewalk,50071834,yes,no,2020/6/19,,,9,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",American
both,50056586,yes,yes,2020/6/20,,,11,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,FA0201454,yes,yes,2020/6/27,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41644054,yes,yes,2021/3/15,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Sandwiches
both,50056679,yes,yes,2020/6/24,,,4,A,Bronx,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Pizza
both,41312815,yes,yes,2020/6/26,,,7,A,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
both,H251120288FS,yes,yes,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50086516,yes,no,2020/6/22,,,10,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Hamburgers
sidewalk,40668305,yes,no,2020/6/21,,,10,A,Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Peruvian
sidewalk,41288582,yes,no,2020/6/22,,,12,A,Bronx,04A,Food Protection Certificate not held by supervisor of food operations.,Mexican
sidewalk,50086717,yes,no,2020/6/19,,,13,A,Manhattan,10I,"Single service item reused, improperly stored, dispensed; not used when required.",American
both,50036313,yes,yes,2020/6/20,,,6,A,Manhattan,10J,Hand wash sign not posted,American
sidewalk,50060435,yes,no,2020/6/19,,,13,A,Brooklyn,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
both,50058724,yes,yes,2020/7/3,,,26,B,Manhattan,02B,Hot food item not held at or above 140º F.,Indian
both,41040222,yes,yes,2020/6/21,,,13,A,Queens,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Latin American
sidewalk,50073572,yes,no,2021/4/29,,,12,A,Manhattan,02B,Hot food item not held at or above 140º F.,American
both,41680471,yes,yes,2020/6/21,,,10,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Turkish
both,50037907,yes,yes,2020/6/28,,,8,A,Queens,10H,Proper sanitization not provided for utensil ware washing operation.,Spanish
sidewalk,41605223,yes,no,2020/6/25,,,21,B,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Japanese
both,27-3360866,yes,yes,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50088782,yes,yes,2020/6/19,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Middle Eastern
both,50086569,yes,yes,2020/6/19,,,10,A,Staten Island,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Coffee/Tea
sidewalk,50079690,yes,no,2020/7/2,,,13,A,Bronx,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Spanish
sidewalk,41353612,yes,no,2020/6/23,,,9,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Japanese
sidewalk,50086042,yes,no,2020/6/22,,,13,A,Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Spanish
both,46-5742855,yes,yes,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50097427,yes,yes,2020/6/22,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,40783903,no,yes,2020/7/7,,,19,B,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Italian
roadway,50107039,no,yes,2021/3/16,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41628404,yes,no,2020/6/23,,,10,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,41005098,yes,yes,2020/6/20,,,13,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
both,50005327,yes,yes,2020/6/20,,,12,A,Brooklyn,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Italian
sidewalk,41146939,yes,no,2020/6/21,,,2,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Seafood
sidewalk,50004512,yes,no,2020/6/28,,,13,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Spanish
both,40397810,yes,yes,2020/6/24,,,9,A,Queens,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
